"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-41446","	@username @username soy justo una ventosa para pino,  quiero rastrillo tú arriba,  quiero pila tú abajo, soy justo una ventosa para pino #FallSongs	","sadness", 0.208
"2017-En-41113","	siempre que  oigo el concierto aplazó  pienso de dismal ventas de ticket día verde ?	","sadness", 0.500
"2017-En-41032","	@username Por qué ?   Tienes depresión ?	","sadness", 0.542
"2017-En-40385","	@username @username @username @username Él seguro tan el infierno me ayudé con mi depresión y todavía hace	","sadness", 0.485
"2017-En-40255","	@username I tiene esto uno tan no soy tan triste .. Pero wtf	","sadness", 0.583
"2017-En-41329","	Esto tomó un melancholy la vuelta pero mi punto es que para todas las dificultades soy todavía feliz . Feliz que  consigo para ser quién  soy .	","sadness", 0.333
"2017-En-41064","	Nada más podría posiblemente puesto un más húmedo en mi día otro que haciendo radiografías encima alguien con kickinnn respiración de asno 😿	","sadness", 0.396
"2017-En-40281","	@username La cosa es, es cualquiera I ser unproductive e infeliz, o tratar algunos vídeos que hacer mal.	","sadness", 0.574
"2017-En-41277","	Incluso si  parece  somos vale,  la realidad de aquel es era de hecho muy gastado y forlorn	","sadness", 0.667
"2017-En-40979","	Gracias @username num dándome un café libre para traer mi taza reutilizable al aeropuerto porque  sea numst tiempo  viste uno . Pero #deprimiendo	","sadness", 0.625
"2017-En-40229","	Teniendo una uña media colgando fuera absolutamente está jodiendo siniestro, incluso con mi acrílico aguantándolo encima 😷😷	","sadness", 0.604
"2017-En-40572","	@username @username  dije pino no lo quise tan no lo tuve que tener	","sadness", 0.354
"2017-En-40197","	#RIPKara i podría haber visto su en un centro comercial local o cualesquier juegos de fútbol escolares . im disheartened	","sadness", 0.646
"2017-En-40629","	El trabajo nuevo que entrena = demasiada carne comiendo ! Oh Bien . También - consiguió aprobado para conducir para Lyft ! Justo necesitar un coche ... #daynum #Sereno	","sadness", 0.312
"2017-En-40020","	@username no me deja #Lauren	","sadness", 0.875
"2017-En-41132","	triste Jauregui marcas todo mi problema dissapear  asombra mi tristeza . Me mantengo fuerte	","sadness", 0.292
"2017-En-40254","	La voz es todo aproximadamente Miley y Alicia este año . Ya no sobre el contestants . #Triste @username	","sadness", 0.604
"2017-En-41201","	Demasiados es en su ' yeah, la cosa que va en con cops disparando las personas inocentes es tristes - pero justo no en mi backyard, así que..'  #blm	","sadness", 0.708
"2017-En-40449","	Pensamientos positivos en estos gloom cloudy días	","sadness", 0.438
"2017-En-40823","	 eres en un viaje inacabable de te representar fuera ; no es desalentado cuándo no sabes quién  eres todavía .	","sadness", 0.375
"2017-En-40391","	La felicidad de palabra perdería su significado si no sea equilibrado por tristeza .	","sadness", 0.479
"2017-En-40285","	Venido encima dejado  marca em marca 😘 de odio em pout  afrontan 👿 😩 .	","sadness", 0.562
"2017-En-40472","	@username Torneado entonces, la mujer más vieja mirada en Sybil con un la mayoría de somber expresión. \n\n“ Corra fuera de mí. Pero no le puedo culpar.”	","sadness", 0.426
"2017-En-41004","	Im Tan infeliz	","sadness", 0.854
"2017-En-40925","	Texans y Astros ambos cerrado fuera esta noche . Houston,  somos atrás a normales. #texans #Astros #Perdedores #de tristeza	","sadness", 0.688
"2017-En-21324","	@username cum y desesperación	","sadness", 0.729
"2017-En-40648","	@username  puedo ser #alwayshungry pero no me he hundido que abajo todavía ! ! @username	","sadness", 0.312
"2017-En-40819","	@username No piensa él , y no tenga la mochila o portátil en su posesión, murky negocio, en aquella nota  soy fuera para empotrar	","sadness", 0.500
"2017-En-40461","	$ FOGO max pesimismo aquí y ningún fondo ( todavía ) . Tiene un sólido PE proporción para un restaurante . Dejado es coge él en num nivel o num nivel si  viene .	","sadness", 0.438
"2017-En-40936","	 Sirve un gloomy más alto que los lobos del pueblo	","sadness", 0.458
"2017-En-40973","	@username oh I ve .  He visto tantas personas lloran la pérdida que  estuve sorprendido para ver vuestro tweet . Supongo mismo viejo aquí en SA	","sadness", 0.604
"2017-En-40790","	Todo  quiero hacer es reloj algún netflix pero  estoy enganchado aquí en clase . #Deprimiéndolo	","sadness", 0.667
"2017-En-41035","	 no se ha hundido en aquel I estoy conociendo los gemelos	","sadness", 0.396
"2017-En-40808","	Si Angelina Jolie no puede mantener un hombre nadie puede . Hoy  lloramos porque el amor es	","sadness", 0.646
"2017-En-41062","	muerto Rooney = whipping chico . #mufc #Triste	","sadness", 0.805
"2017-En-40260","	Primero un abrigo . Ahora un par de sunglasses . Luego  sea un limb . #Tiempo	","sadness", 0.583
"2017-En-21295","	perdido para alguna desesperación #SDRnum #desesperación #fuckthisanime	","sadness", 0.750
"2017-En-41358","	 brawndo cura mi depresión ? @username #Idiocracytoday	","sadness", 0.729
"2017-En-40302","	@username No puedo tener alcohol encima lo, tristemente, pero él sólo bengalas arriba debajo circunstancias muy específicas tan justo necesito ser más prudente	","sadness", 0.562
"2017-En-40738","	no pienso Luca entiende qué serio I soy aproximadamente Caída ... No tiene ninguna idea qué es en tienda para él 😂 😂	","sadness", 0.208
"2017-En-41138","	 estoy dejado a sulk	","sadness", 0.729
"2017-En-40141","	Y no incluso empiezo con Hillary y su elegante fundraisers ! #Deprimiendo	","sadness", 0.688
"2017-En-20948","	@username @username Y el terrible Franglaise .	","sadness", 0.345
"2017-En-40854","	num:num Todo con tarea cansada fordone . \ nNow El malgastó las marcas hacen fulgor,\nWhilst el scritch-búho, scritching fuerte,\n#AMNDBots	","sadness", 0.458
"2017-En-20885","	el final de cómo  conocí vuestra madre es terrible	","sadness", 0.417
"2017-En-41503","	En la rueda cuando crecemos más viejos y devenir consciente de nosotros como particulares con un atenuar responsabilidad en vida ?	","sadness", 0.396
"2017-En-41487","	@username yeah Amigos de minw tiene witnesse accidentes y una carretera cercana me gustar ? ? ? Coches hav gusta hundido ? ? Pero ih gosh ser seguro vale ! !	","sadness", 0.562
"2017-En-40215","	@username No podría subir con él tampoco . Los bits empezaron drooping que tener que no droop . GP dijo mooncup sólo para culpar .	","sadness", 0.625
"2017-En-40520","	Preparación de entrevista,  odio hablar aproximadamente yo, uno atenúa asunto sujeto! #yawnoff	","sadness", 0.396
"2017-En-41484","	@username  Sé, bien?  Tuve un tinge del mismo pensó. Feliz  es Seis de BSG, aun así. Feliz el espectáculo se quedó compatible después de que rotura.	","sadness", 0.283
"2017-En-40136","	De Mi dirigirse a pensarlo era mejor pero evidentemente no es #relapse #tristeza #sickness #la locura que #entiende mal	","sadness", 0.688
"2017-En-40516","	@username algo, también confundido para escribir una palabra entera 😜 Ve,  puedo reír otra vez. Mi hora de tristeza ha casi pasó	","sadness", 0.396
"2017-En-41411","	@username Esto es una aflicción que va encima para mí y la cura única es más Shiro	","sadness", 0.479
"2017-En-41253","	@username I así que te deseas podría someday venido a España con el juego, no puedo creer no lo voy a ver	","sadness", 0.354
"2017-En-41522","	 Campeón #de Ganador #escolar #lastyear #gouniversity #universitario #me #oscuro #Negro #webstagram #blackandwhite	","sadness", 0.208
"2017-En-41430","	Aquellos eran los tiempos,  pensé nunca puedo ser sereno. Pero todavía Su gracia es allende mis límites 🙏🏾	","sadness", 0.396
"2017-En-41250","	Los animales, los animales\nTrap trampa de trampa hasta la jaula es llena\nThe la jaula es llena, la estancia despierta\nIn la oscuridad, contar equivocaciones	","sadness", 0.417
"2017-En-41081","	Un momento :\ nIf  matas él en el espíritu,  muera en el natural!!!'-@PRINCESSTAYE  #Racismo #de depresión #de suicidio #de asesinato #a orgullo	","sadness", 0.750
"2017-En-40481","	le Gusta mantiene moler chico vuestra vida puede cambiar en un año, e incluso cuándo es oscuridad fuera del sol está brillando en algún lugar...'	","sadness", 0.417
"2017-En-20314","	@username Bastante sencillamente la #aerolínea #peor #worstairline  he nunca utilizó ! #Impresionante #appauling #dire #dismal #beyondajoke #inútil	","sadness", 0.667
"2017-En-40373","	 ponéis a punto a Snapchat para Alubias funereal	","sadness", 0.500
"2017-En-40124","	Malos malos chilly la lluvia ha puesto un más húmedo en mi cigarro de tarde . Esto NO es una cosa buena . @username Y CUATRO #CongressCritters mañana ?	","sadness", 0.708
"2017-En-40497","	A veces las personas te dejan halfway a través de la madera .  No dejado  te apenas, nadie deja para bueno. #youarenotalone #nooneisalone	","sadness", 0.417
"2017-En-40712","	@username Para #intermediarios #serios todo requirió info aproximadamente #el proyecto o #El Dueño serán mailed .	","sadness", 0.250
"2017-En-40777","	@username Grande de tenerte cuando nuestra silla de torneo y el premio era #serios	","sadness", 0.132
"2017-En-40033","	@username yeah soy seguro él ,  es justo tan deprimiendo teniendo que hablar a mis padres sobre el teléfono en vez de hablar a ellos abajo	","sadness", 0.833
"2017-En-40314","	 es tan gloomy exterior .  Deseo sea tan frío cuando  mire	","sadness", 0.542
"2017-En-41257","	@username tristemente, aquel idiota completamente pasa por alto los hechos .  Tenga una pistola señalada en policía. Son aquello estúpido?Aquello tendría que ser ignorado	","sadness", 0.542
"2017-En-40288","	Patti parece tan triste .  Estampe y corrió detrás del sofá .  Tendremos que dar su abundancia de amor y afecto ... Más de habitual .	","sadness", 0.562
"2017-En-40686","	 Añadí Paul Walker en Xbox pero justo gasta todo de su tiempo en el dashboard . #El humor #oscuro #gracioso	","sadness", 0.271
"2017-En-40824","	En bedrest desde entonces  salí del hospital . U Encontrar en unopened cerveza .. Qué   hago . Vierte que mierda fuera ! Ningún alcohol en absoluto para mí #sereno	","sadness", 0.440
"2017-En-40249","	chocando informes en mama #RitaMarley salud,mannn e i despertó hoy sintiendo como mi ole self(rejoice!!)Ahora dis #tristeza	","sadness", 0.604
"2017-En-41195","	@username bts ' 화양연화 trilogía MV es mi todos cronometran fav 🙌 bastante gloomy pero bonitos también ✨	","sadness", 0.333
"2017-En-40584","	@username lol año sénior  conseguiríamos temprano dismal para estudio de trabajo,sea su jefe y  sabes qué pasado luego 🙃	","sadness", 0.354
"2017-En-41419","	@username  sé smh . Mi corazón hundido a mi estómago .	","sadness", 0.762
"2017-En-41137","	@username Oh Y  lo juego capo numnd fret en una posición de G RS	","sadness", 0.292
"2017-En-40673","	@username lmao ! Sólo puedo imaginar el arrugar la frente a través de aquella cara del vuestro . #Hilaridad	","sadness", 0.271
"2017-En-41364","	Pero es vuestra culpa  trabajaste duro y se quedó el curso hasta que finalmente él todo pagó fuera, no! Tan dejado lo ser sabido y contar arriba!	","sadness", 0.354
"2017-En-40604","	@username Mi corazón porque  me dejé para tan mucho tiempo otra vez \ n \ n * leve pout pero  gire a una sonrisa * \ n \ nheheh justo bromeando, ningún I soy bien-	","sadness", 0.333
"2017-En-40394","	numPet num:num Pero el fin de todas las  cosas es a mano : ser ye por tanto #sereno, y #mirar unto oración	","sadness", 0.479
"2017-En-41047","	no soy el tipo para huir de la adversidad ni  él me desalentamos . Siempre estaré fuerte en la pintura	","sadness", 0.354
"2017-En-40454","	Así que  intenté dar su tiempo a sereno arriba, mientras esperando en la casa del nuestro amigo. 2 horas más tarde, gal despertar fuera de su nap para vomitar otra vez.	","sadness", 0.438
"2017-En-20652","	@username Tan  significas “ como Uber pero para desesperación para alguien otro que el conductor '	","sadness", 0.479
"2017-En-40300","	@username Dónde tiene vuestro num % pomelo squash ido,no sido capaz de conseguir para las semanas #infelices	","sadness", 0.562
"2017-En-41360","	porque una cocina se hunde a ti no es una cocina se hunde a mí, vale amigo?	","sadness", 0.333
"2017-En-40809","	@username - Frustración, mirando arriba en Elphaba en un arrugar la frente de agravamiento. Su alto pitched la voz crecía más y más --	","sadness", 0.479
"2017-En-40070","	@username - decisión posible peor  podría haber hecho cuándo llegando en el Reino Unido . Servicio impresionante . Cobertura pobre . #Infeliz	","sadness", 0.771
"2017-En-40468","	@username Bien, no hay ninguna necesidad a sulk. Siempre puedes pedir una canción,  sabes.	","sadness", 0.438
"2017-En-40640","	@username Bienvenido a la miel oscura !	","sadness", 0.312
"2017-En-41231","	Rockin A Bob Dylan singin ' Bob Dylan' numth Sueño en LPCO Klassic Rock #classicrock #klassicrock #rocknroll #blues #onlineradio	","sadness", 0.188
"2017-En-40664","	@username @username  sonamos como los vampiros diciendo que nos queremos hundir nuestros dientes al TT chicos y sus Personas 😂 😂 😂	","sadness", 0.292
"2017-En-41396","	de talentos demasiado débiles de seguir sus sueños propios siempre encontrarán una manera de desalentar el vuestro .	","sadness", 0.562
"2017-En-40943","	@username La profundidad que  te has hundido a . Eres lectores merece más .	","sadness", 0.417
"2017-En-20267","	Rooney ! Oh Querido, oh querido ! La vida terrible 🙈⚽️⚽️	","sadness", 0.625
"2017-En-41496","	maldita es dura ., su más duro si ur amor #de vida #estúpida  #sadderness #moreofsad #howdoestears #whatislife	","sadness", 0.854
"2017-En-40218","	Cuándo  has num doe corrido el lado opuesto de ti 🙁	","sadness", 0.625
"2017-En-40768","	Bueno de ver Balotelli atrás a su jugador mejor, bueno.. Justo perdió su manera un poco!	","sadness", 0.167
"2017-En-40732","	No puedo llorar Niño Cudi causa  tenemos Travis Scott ...	","sadness", 0.229
"2017-En-40352","	@username Gundlach Pidiendo redondeando parte superior, hado y gloom, 15% abajo mover	","sadness", 0.521
"2017-En-40693","	Aquella casa en #GrandDesigns no es en un bosque  es en un wibbly wobbly plantación de pino	","sadness", 0.271
